appid,ate,se,nobs,price,title,regular_price,logprice,ngames,ngames_pub,logngames,years_since_release,release_year,logyrs,indie,multiplayer,free_to_play,rich_story,difficult,early_access,remake,retro,metascore,metastd,rating_count,logratecount,date_num,wkend,is_promo,game_sponsored,game_sponsored_daily,game_primary,game_primary_daily,is_significant
204360,0.0195220897535248,0.00243327653834328,5447,,Castle Crashers®,14.99,,1,3,0,8.6273975,2012,2.26461294006495,1,1,0,0,0,0,0,0,78,2.0879774,82713,11.3231441532624,0,FALSE,,0.0099337753,0,0.0066225166,0,TRUE
207140,0.00322794596027416,0.00429588127466268,5447,,SpeedRunners,14.99,,5,16,1.6094379124341,5.0630136,2016,1.80220697020105,1,1,0,0,0,0,0,0,84,2.3408527,30764,10.3341329591746,0,FALSE,,0.01904762,1,0.03265306,0,FALSE
208650,0.00615269157506867,0.000936485916490208,5447,,Batman™: Arkham Knight,19.99,,7,7,1.94591014905531,5.8876715,2015,1.92973307435052,0,0,0,1,0,0,0,0,89,2.8495069,73050,11.1989131063391,0,FALSE,,0.0069396254,0,0.14434421,0.390309542417526,TRUE
211820,0.0073135706920689,0.000436386015344925,5447,,Starbound,14.99,,1,4,0,4.8054795,2016,1.75880221294442,1,1,0,1,0,0,0,0,81,2.6357672,152043,11.9319252316232,0,FALSE,,0.018416205,0,0.033149172,0,TRUE
212220,0.0123432774090109,0.000882940932191212,5447,0,,0,0,3,1,1.09861228866811,8.8739729,2012,2.28990229525118,,1,1,,0,,,,78,-99,,,0,FALSE,,0.0020867491,,0.93396932,,TRUE
212680,0.0229081819203658,0.000721381128900005,5447,,FTL: Faster Than Light,9.9899998,,1,2,0,8.6602736,2012,2.26802197080471,1,0,0,1,1,0,0,0,84,2.3664534,60324,11.0075018904932,0,FALSE,,0.0059553352,0,0.38560793,0.440363229019567,TRUE
214490,-0.00155892845132874,0.00191497624776782,5447,,Alien: Isolation,39.990002,,17,84,2.83321334405622,6.5999999,2014,2.02814823413439,0,0,0,0,1,0,0,0,81,2.040437,44949,10.7133060398998,0,FALSE,,0.0074526756,0,0.086003877,0.0316088374238461,FALSE
215100,-0.0142151614319175,0.0106595849062772,5447,0,Ragnarok Online,0,0,1,3,0,17.956165,2003,2.94212920843547,0,1,1,0,0,0,0,0,79,2.6057622,1762,7.47477218239787,0,FALSE,,0.00080895243,0,0.87083727,0.919461301789852,FALSE
216150,0.0889364173111362,0.00561086178570482,5447,0,MapleStory,0,0,3,1,1.09861228866811,8.7589045,2012,2.27818015027273,0,1,1,1,0,0,0,0,84,3.0101869,8207,9.01286456741055,0,FALSE,,0.0010671448,0,0.90805483,0.992560251724171,TRUE
217200,0.0122592056422687,0.00579461157775061,5447,,Worms Armageddon,14.99,,9,9,2.19722457733622,21.961643,1999,3.13382512812458,0,1,0,1,0,0,0,1,-99,-99,6749,8.81729778386658,0,FALSE,,0,,0.028089888,,TRUE
218620,0.0302081372954976,0.0232217869420364,5447,,PAYDAY 2,9.9899998,,1,3,0,7.7479453,2013,2.16881884993718,0,1,0,0,0,0,0,0,79,1.2658269,528592,13.1779740385372,0,FALSE,,0.0044776117,0,0.32119402,0.964474472450092,FALSE
219890,0.0260874412895444,0.0155935808581876,5447,,Antichamber,19.99,,1,1,0,8.2794523,2013,2.22780252565984,1,0,0,1,1,0,0,0,82,2.0003681,14979,9.61447125707121,0,FALSE,,0,,0.015384615,,FALSE
220200,0.00578566545640957,0.000412534780652099,5447,,Kerbal Space Program,39.990002,,1,3,0,6.0438356,2015,1.95215285134968,1,0,0,1,1,0,0,0,88,1.8264716,94502,11.4563868590097,0,FALSE,,0.0013661202,0,0.52504551,0.346061382442713,TRUE
220240,-0.000235713975648248,0.00114990279460575,5447,,Far Cry 3,19.99,,16,73,2.77258872223978,8.4383564,2012,2.24478185482898,0,1,0,1,0,0,0,0,88,2.1764212,75791,11.2357480251635,0,FALSE,,0.0033840947,0,0.0093062604,0,FALSE
220740,0.00510431827788905,0.0214267368629529,5447,,Save 90% on Chaos on Deponia,19.99,,3,14,1.09861228866811,8.5150681,2012,2.25287665784284,1,0,0,1,0,0,0,1,78,1.6917039,2132,7.66528471847135,0,FALSE,,0,,0,,FALSE
221100,0.0309768793150655,0.00045323983011271,5447,,DayZ,44.990002,,2,9,0.693147180559945,2.410959,2018,1.22699348342877,1,1,0,1,0,1,0,0,69,3.0041811,273210,12.5179996694114,0,FALSE,,0.0050904979,0.0200092184531968,0.69380778,0.476272529826929,TRUE
221380,-0.0112677873208731,0.000432571458376031,5447,,Age of Empires II (2013),19.99,,12,29,2.484906649788,8.0931511,2013,2.20752150378376,0,1,0,1,0,0,1,0,68,2.6659377,90507,11.4131935235712,0,FALSE,,0.0042962963,0.0085228998214006,0.82518518,0.93909640972015,TRUE
